record_id,vendor_id,vendor_name,vendor_iban,vendor_address,vendor_phone,invoice_no,amount,payment_date,payment_datetime,description,gl_account,employee_id,employee_iban,po_number
R0000,V008,Vendor 008 LLC,AE07033000000000000000,PO Box 1234,+97151719583,INV-2000,9571.0,2025-10-11,2025-10-11T23:03:00,test reversal correction,GL-0000,E001,AE0703300000000000000008,
R0001,V035,Vendor 035 LLC,AE07033000000000000000,"Street 1, Dubai",+97153903402,INV-2001,2997.27,2025-11-15,2025-11-15T08:59:00,supplier payment,GL-0001,E003,AE999993938631441738074,PO-3001
R0002,V033,Vendor 033 LLC,AE07033000000000000000,"Street 2, Dubai",+97157038374,INV-2002,496.51,2025-11-11,2025-11-11T18:03:00,supplier payment,GL-0002,E001,AE999999816795012270220,PO-3002
R0003,V015,Vendor 015 LLC,AE07033000000000000000,"Street 3, Dubai",+97154661907,INV-2003,941.17,2025-11-15,2025-11-15T08:52:00,supplier payment,GL-0003,E015,AE999996129409772778769,
R0004,V010,Vendor 010 LLC,AE07033000000000000000,"Street 4, Dubai",+97155770619,INV-2004,227.9,2025-10-14,2025-10-14T14:34:00,supplier payment,GL-0004,E007,AE999996466795234027415,PO-3004
R0005,V017,Vendor 017 LLC,AE07033000000000000000,"Street 5, Dubai",+97154918715,INV-2005,7530.06,2025-10-29,2025-10-29T14:02:00,supplier payment,GL-0005,E002,AE999999944679284752360,PO-3005
R0006,V024,Vendor 024 LLC,AE07033000000000000000,"Street 6, Dubai",+97154663623,INV-2006,175.16,2025-11-30,2025-11-30T18:51:00,supplier payment,GL-0006,E007,AE999996847741671717584,
R0007,V030,Vendor 030 LLC,AE07033000000000000000,"Street 7, Dubai",+97151197935,INV-2007,1975.3,2025-09-21,2025-09-21T11:59:00,supplier payment,GL-0007,E012,AE999994809447126899108,PO-3007
R0008,V011,Vendor 011 LLC,AE07033000000000000000,"Street 8, Dubai",+97155440561,INV-2008,4148.69,2025-09-21,2025-09-21T12:39:00,supplier payment,GL-0008,E008,AE999993956234207380025,PO-3008
R0009,V004,Vendor 004 LLC,AE07033000000000000000,"Street 9, Dubai",+97153539704,INV-2009,65714.36,2025-09-05,2025-09-05T14:57:00,supplier payment,GL-0000,E008,AE999991192348495817374,
R0010,V021,Vendor 021 LLC,AE07033000000000000000,"Street 10, Dubai",+97154443951,INV-2010,5588.68,2025-11-23,2025-11-23T18:23:00,supplier payment,GL-0001,E007,AE999992573743943012521,PO-3010
R0011,V009,Vendor 009 LLC,AE07033000000000000000,"Street 11, Dubai",+97156073292,INV-2011,7698.76,2025-11-11,2025-11-11T17:23:00,supplier payment,GL-0002,E008,AE999997194961785285104,PO-3011
R0012,V015,Vendor 015 LLC,AE07033000000000000000,"Street 12, Dubai",+97152564251,INV-2012,5337.1,2025-11-05,2025-11-05T08:57:00,supplier payment,GL-0003,E005,AE999991975263452806550,
R0013,V011,Vendor 011 LLC,AE07033000000000000000,"Street 13, Dubai",+97154218028,INV-2013,166.86,2025-11-16,2025-11-16T14:11:00,supplier payment,GL-0004,E014,AE999999531676901383682,PO-3013
R0014,V001,Vendor 001 LLC,AE07033000000000000000,"Street 14, Dubai",+97154924115,INV-2014,124956.71,2025-11-27,2025-11-27T12:36:00,supplier payment,GL-0005,E004,AE999992009543644396911,PO-3014
R0015,V028,Vendor 028 LLC,AE07033000000000000000,"Street 15, Dubai",+97152997281,INV-2015,102.65,2025-10-29,2025-10-29T12:43:00,supplier payment,GL-0006,E006,AE999999017760458582155,
R0016,V033,Vendor 033 LLC,AE07033000000000000000,"Street 16, Dubai",+97156273233,INV-2016,1108.04,2025-11-20,2025-11-20T18:14:00,supplier payment,GL-0007,E004,AE999992753306819286665,PO-3016
R0017,V011,Vendor 011 LLC,AE07033000000000000000,"Street 17, Dubai",+97156089806,INV-2017,12482.63,2025-09-06,2025-09-06T15:27:00,supplier payment,GL-0008,E017,AE999992015228803706242,PO-3017
R0018,V020,Vendor 020 LLC,AE07033000000000000000,"Street 18, Dubai",+97151437026,INV-2018,696.71,2025-09-08,2025-09-08T17:08:00,supplier payment,GL-0000,E008,AE999991418764908971894,
R0019,V032,Vendor 032 LLC,AE07033000000000000000,"Street 19, Dubai",+97154446912,INV-2019,9565.0,2025-11-08,2025-11-08T18:35:00,supplier payment,GL-0001,E003,AE999992974662350859696,PO-3019
R0020,V034,Vendor 034 LLC,AE07033000000000000000,"Street 20, Dubai",+97156693979,INV-2020,178318.84,2025-09-28,2025-09-28T11:10:00,supplier payment,GL-0002,E014,AE999995615380743836390,PO-3020
R0021,V024,Vendor 024 LLC,AE07033000000000000000,"Street 21, Dubai",+97155672134,INV-2021,3803.66,2025-11-06,2025-11-06T11:09:00,supplier payment,GL-0003,E015,AE999991153388662604751,
R0022,V002,Vendor 002 LLC,AE07033000000000000000,"Street 22, Dubai",+97151130789,INV-2022,589.88,2025-11-15,2025-11-15T09:34:00,supplier payment,GL-0004,E008,AE999994124246893812192,PO-3022
R0023,V003,Vendor 003 LLC,AE07033000000000000000,"Street 23, Dubai",+97153594297,INV-2023,6000,2025-09-10,2025-09-10T12:02:00,supplier payment,GL-0005,E011,AE999998744448913711271,PO-3023
R0024,V035,Vendor 035 LLC,AE07033000000000000000,"Street 24, Dubai",+97156829332,INV-2024,10393.0,2025-11-13,2025-11-13T11:20:00,supplier payment,GL-0006,E005,AE999998520325131981215,
R0025,V013,Vendor 013 LLC,AE07033000000000000000,"Street 25, Dubai",+97157835373,INV-2025,20250.68,2025-09-13,2025-09-13T13:01:00,supplier payment,GL-0007,E004,AE999997405758093174289,PO-3025
R0026,V004,Vendor 004 LLC,AE07033000000000000000,"Street 26, Dubai",+97153214348,INV-2026,2565.51,2025-09-08,2025-09-08T13:51:00,supplier payment,GL-0008,E004,AE999994479393660997159,PO-3026
R0027,V013,Vendor 013 LLC,AE07033000000000000000,"Street 27, Dubai",+97151264748,INV-2027,2996.3,2025-09-18,2025-09-18T12:28:00,supplier payment,GL-0000,E015,AE999994500114100898581,
R0028,V029,Vendor 029 LLC,AE07033000000000000000,"Street 28, Dubai",+97151564689,INV-2028,19164.93,2025-09-07,2025-09-07T16:17:00,supplier payment,GL-0001,E004,AE999990265853476398960,PO-3028
R0029,V016,Vendor 016 LLC,AE07033000000000000000,"Street 29, Dubai",+97156358113,INV-2029,5008.92,2025-10-23,2025-10-23T23:38:00,supplier payment,GL-0002,E006,AE999992965838378482384,PO-3029
R0030,V001,Vendor 001 LLC,AE07033000000000000000,"Street 30, Dubai",+97159324245,INV-2030,174909.44,2025-10-04,2025-10-04T15:26:00,supplier payment,GL-0003,E013,AE999997620222396012530,
R0031,V032,Vendor 032 LLC,AE07033000000000000000,"Street 31, Dubai",+97155261415,INV-2031,1092.64,2025-09-25,2025-09-25T08:22:00,test reversal correction,GL-0004,E005,AE999991098113797148176,PO-3031
R0032,V004,Vendor 004 LLC,AE07033000000000000000,"Street 32, Dubai",+97158519948,INV-2032,4664.01,2025-11-14,2025-11-14T16:49:00,supplier payment,GL-0005,E002,AE999991024651023975141,PO-3032
R0033,V006,Vendor 006 LLC,AE07033000000000000000,"Street 33, Dubai",+97156774229,INV-2033,12095.47,2025-09-09,2025-09-09T18:31:00,supplier payment,GL-0006,E006,AE999994237057658466028,
R0034,V008,Vendor 008 LLC,AE07033000000000000000,"Street 34, Dubai",+97159792396,INV-2034,12045.28,2025-11-15,2025-11-15T17:10:00,supplier payment,GL-0007,E008,AE999997552081866841428,PO-3034
R0035,V034,Vendor 034 LLC,AE07033000000000000000,"Street 35, Dubai",+97156640184,INV-2035,518.69,2025-10-04,2025-10-04T13:45:00,supplier payment,GL-0008,E011,AE999994784886650668509,PO-3035
R0036,V009,Vendor 009 LLC,AE07033000000000000000,"Street 36, Dubai",+97159445465,INV-2036,1278.26,2025-10-29,2025-10-29T09:49:00,supplier payment,GL-0000,E010,AE999998255734636773235,
R0037,V009,Vendor 009 LLC,AE07033000000000000000,"Street 37, Dubai",+97154781295,INV-2037,1278.26,2025-11-08,2025-11-08T12:43:00,supplier payment,GL-0001,E003,AE999996656805221002340,PO-3037
R0038,V011,Vendor 011 LLC,AE07033000000000000000,"Street 38, Dubai",+97159304682,INV-2038,9813.0,2025-11-09,2025-11-09T18:31:00,supplier payment,GL-0002,E015,AE999990140928738699343,PO-3038
R0039,V020,Vendor 020 LLC,AE07033000000000000000,"Street 39, Dubai",+97152607983,INV-2039,842.62,2025-09-18,2025-09-18T09:52:00,supplier payment,GL-0003,E004,AE999999965993762686235,
R0040,V018,Vendor 018 LLC,AE07033000000000000000,"Street 40, Dubai",+97158196204,INV-2040,546.01,2025-11-17,2025-11-17T13:15:00,supplier payment,GL-0004,E010,AE999999104640311587558,PO-3040
R0041,V017,Vendor 017 LLC,AE07033000000000000000,"Street 41, Dubai",+97150739653,INV-2041,16595.7,2025-09-12,2025-09-12T12:24:00,supplier payment,GL-0005,E002,AE0703300000000000000017,PO-3041
R0042,V001,Vendor 001 LLC,AE07033000000000000000,"Street 42, Dubai",+97157175395,INV-2042,16978.4,2025-09-17,2025-09-17T12:26:00,supplier payment,GL-0006,E011,AE999999938191148392905,
R0043,V001,Vendor 001 LLC,AE07033000000000000000,"Street 43, Dubai",+97156194416,INV-2043,203085.21,2025-09-10,2025-09-10T10:38:00,supplier payment,GL-0007,E004,AE999990649023441325627,PO-3043
R0044,V010,Vendor 010 LLC,AE07033000000000000000,"Street 44, Dubai",+97156003042,INV-2044,140.09,2025-09-17,2025-09-17T13:52:00,supplier payment,GL-0008,E014,AE999990718684869296433,PO-3044
R0045,V014,Vendor 014 LLC,AE07033000000000000000,"Street 45, Dubai",+97152726327,INV-2045,228.97,2025-11-25,2025-11-25T16:54:00,supplier payment,GL-0000,E008,AE999994264683180437173,
R0046,V012,Vendor 012 LLC,AE07033000000000000000,"Street 46, Dubai",+97152670896,INV-2046,0,2025-09-04,2025-09-04T13:24:00,supplier payment,GL-0001,E014,AE999994806344348001122,PO-3046
R0047,V007,Vendor 007 LLC,AE07033000000000000000,"Street 47, Dubai",+97155866294,INV-2047,101175.74,2025-09-05,2025-09-05T11:25:00,supplier payment,GL-0002,E013,AE999998292086849710578,PO-3047
R0048,V020,Vendor 020 LLC,AE07033000000000000000,"Street 48, Dubai",+97154674183,INV-2048,121.01,2025-09-29,2025-09-29T11:41:00,supplier payment,GL-0003,E008,AE999995913441533550032,
R0049,V005,Vendor 005 LLC,AE07033000000000000000,"Street 49, Dubai",+97155555772,INV-2049,17586.77,2025-10-15,2025-10-15T14:32:00,supplier payment,GL-0004,E009,AE999999659604115533197,PO-3049
R0050,V002,Vendor 002 LLC,AE07033000000000000000,"Street 50, Dubai",+97157290770,INV-2050,421.68,2025-10-04,2025-10-04T12:06:00,supplier payment,GL-0005,E004,AE999991952805829687618,PO-3050
R0051,V023,Vendor 023 LLC,AE07033000000000000000,"Street 51, Dubai",+97159673542,INV-2051,13235.21,2025-11-01,2025-11-01T16:45:00,supplier payment,GL-0006,E011,AE999996939061329262169,
R0052,V013,Vendor 013 LLC,AE07033000000000000000,"Street 52, Dubai",+97153305700,INV-2052,30251.61,2025-09-06,2025-09-06T08:11:00,supplier payment,GL-0007,E009,AE999999699890749210368,PO-3052
R0053,V024,Vendor 024 LLC,AE07033000000000000000,PO Box 1234,+97152090865,INV-2053,209440.52,2025-09-09,2025-09-09T13:18:00,supplier payment,GL-0008,E014,AE999995655001431481575,PO-3053
R0054,V020,Vendor 020 LLC,AE07033000000000000000,"Street 54, Dubai",+97152135534,INV-2054,21583.66,2025-10-10,2025-10-10T13:40:00,supplier payment,GL-0000,E017,AE999999987406550798112,
R0055,V013,Vendor 013 LLC,AE07033000000000000000,"Street 55, Dubai",+97156812810,INV-2055,195556.77,2025-11-25,2025-11-25T18:04:00,supplier payment,GL-0001,E014,AE999995421432287846873,PO-3055
R0056,V001,Vendor 001 LLC,AE07033000000000000000,"Street 56, Dubai",+97157411939,INV-2056,544.05,2025-10-07,2025-10-07T17:16:00,supplier payment,GL-0002,E010,AE999998376480396406010,PO-3056
R0057,V029,Vendor 029 LLC,AE07033000000000000000,"Street 57, Dubai",+97154761145,INV-2057,9961.0,2025-11-05,2025-11-05T10:00:00,supplier payment,GL-0003,E007,AE999991527542308303192,
R0058,V033,Vendor 033 LLC,AE07033000000000000000,"Street 58, Dubai",+97155207974,INV-2058,73195.12,2025-09-12,2025-09-12T23:46:00,supplier payment,GL-0004,E011,AE999994231018459076292,PO-3058
R0059,V015,Vendor 015 LLC,AE07033000000000000000,"Street 59, Dubai",+97151221854,INV-2059,121.76,2025-09-19,2025-09-19T11:08:00,supplier payment,GL-0005,E007,AE999998559298521283364,PO-3059
R0060,V030,Vendor 030 LLC,AE07033000000000000000,"Street 60, Dubai",+97154093379,INV-2060,10347.8,2025-11-20,2025-11-20T14:42:00,supplier payment,GL-0006,E014,AE999997199505477763221,
R0061,V010,Vendor 010 LLC,AE07033000000000000000,"Street 61, Dubai",+97150842524,INV-2061,53023.87,2025-09-14,2025-09-14T11:40:00,supplier payment,GL-0007,E001,AE999998368587087077651,PO-3061
R0062,V016,Vendor 016 LLC,AE07033000000000000000,"Street 62, Dubai",+97159377210,INV-2062,292.88,2025-10-29,2025-10-29T15:03:00,test reversal correction,GL-0008,E004,AE999999568021771608001,PO-3062
R0063,V021,Vendor 021 LLC,AE07033000000000000000,"Street 63, Dubai",+97157481188,INV-2063,71207.01,2025-11-18,2025-11-18T16:16:00,supplier payment,GL-0000,E015,AE999999869585338048953,
R0064,V011,Vendor 011 LLC,AE07033000000000000000,"Street 64, Dubai",+97158130188,INV-2064,807.55,2025-10-28,2025-10-28T11:18:00,supplier payment,GL-0001,E016,AE999999390902088151737,PO-3064
R0065,V016,Vendor 016 LLC,AE07033000000000000000,"Street 65, Dubai",+97155634586,INV-2065,186.72,2025-10-27,2025-10-27T12:47:00,supplier payment,GL-0002,E009,AE999994894781960865140,PO-3065
R0066,V021,Vendor 021 LLC,AE07033000000000000000,"Street 66, Dubai",+97153589533,INV-2066,337.22,2025-09-18,2025-09-18T14:29:00,supplier payment,GL-0003,E003,AE999992752694765138417,
R0067,V005,Vendor 005 LLC,AE07033000000000000000,"Street 67, Dubai",+97153470105,INV-2067,1439.08,2025-10-23,2025-10-23T15:13:00,supplier payment,GL-0004,E014,AE999991121679739727407,PO-3067
R0068,V027,Vendor 027 LLC,AE07033000000000000000,"Street 68, Dubai",+97150098919,INV-2068,204746.8,2025-11-15,2025-11-15T08:10:00,supplier payment,GL-0005,E013,AE999998592504616167092,PO-3068
R0069,V023,Vendor 023 LLC,AE07033000000000000000,"Street 69, Dubai",+97153700025,INV-2069,97000,2025-10-20,2025-10-20T14:03:00,supplier payment,GL-0006,E010,AE999999838244222007890,
R0070,V032,Vendor 032 LLC,AE07033000000000000000,"Street 70, Dubai",+97156783308,INV-2070,3352.94,2025-10-05,2025-10-05T08:02:00,supplier payment,GL-0007,E008,AE999996055171118081356,PO-3070
R0071,V011,Vendor 011 LLC,AE07033000000000000000,"Street 71, Dubai",+97157190929,INV-2071,270724.1,2025-09-17,2025-09-17T16:20:00,supplier payment,GL-0008,E015,AE999991512262396291327,PO-3071
R0072,V009,Vendor 009 LLC,AE07033000000000000000,"Street 72, Dubai",+97157628588,INV-2072,149.97,2025-09-24,2025-09-24T14:23:00,supplier payment,GL-0000,E015,AE999993812931637437032,
R0073,V021,Vendor 021 LLC,AE07033000000000000000,"Street 73, Dubai",+97150325197,INV-2073,941.67,2025-10-19,2025-10-19T14:24:00,supplier payment,GL-0001,E011,AE999998472291494579853,PO-3073
R0074,V021,Vendor 021 LLC,AE07033000000000000000,"Street 74, Dubai",+97150520596,INV-2074,941.67,2025-10-15,2025-10-15T09:07:00,supplier payment,GL-0002,E002,AE999990725225207063715,PO-3074
R0075,V016,Vendor 016 LLC,AE07033000000000000000,"Street 75, Dubai",+97151919136,INV-2075,14951.16,2025-09-03,2025-09-03T11:03:00,supplier payment,GL-0003,E007,AE999998530917988500628,
R0076,V014,Vendor 014 LLC,AE07033000000000000000,"Street 76, Dubai",+97152747534,INV-2076,9688.0,2025-11-29,2025-11-29T10:01:00,supplier payment,GL-0004,E015,AE999992063240949809788,PO-3076
R0077,V020,Vendor 020 LLC,AE07033000000000000000,"Street 77, Dubai",+97153327421,INV-2077,122.99,2025-11-14,2025-11-14T12:39:00,supplier payment,GL-0005,E004,AE999997145491457646057,PO-3077
R0078,V005,Vendor 005 LLC,AE07033000000000000000,"Street 78, Dubai",+97155825112,INV-2078,27553.42,2025-09-14,2025-09-14T12:59:00,supplier payment,GL-0006,E008,AE999990739837247932998,
R0079,V035,Vendor 035 LLC,AE07033000000000000000,"Street 79, Dubai",+97150212267,INV-2079,1981.52,2025-11-24,2025-11-24T16:50:00,supplier payment,GL-0007,E014,AE999996147075939329292,PO-3079
R0080,V027,Vendor 027 LLC,AE07033000000000000000,"Street 80, Dubai",+97152566765,INV-2080,3291.03,2025-09-14,2025-09-14T13:28:00,supplier payment,GL-0008,E016,AE999998281928866605442,PO-3080
R0081,V028,Vendor 028 LLC,AE07033000000000000000,"Street 81, Dubai",+97158111742,INV-2081,239418.7,2025-11-06,2025-11-06T12:50:00,supplier payment,GL-0000,E006,AE999999694861828296726,
R0082,V030,Vendor 030 LLC,AE07033000000000000000,"Street 82, Dubai",+97151453962,INV-2082,869.73,2025-11-15,2025-11-15T11:06:00,supplier payment,GL-0001,E014,AE0703300000000000000030,PO-3082
R0083,V018,Vendor 018 LLC,AE07033000000000000000,"Street 83, Dubai",+97150481506,INV-2083,42331.82,2025-10-02,2025-10-02T17:36:00,supplier payment,GL-0002,E015,AE999996059981439070571,PO-3083
R0084,V032,Vendor 032 LLC,AE07033000000000000000,"Street 84, Dubai",+97155709938,INV-2084,5086.57,2025-09-24,2025-09-24T13:55:00,supplier payment,GL-0003,E011,AE999994654064348347870,
R0085,V018,Vendor 018 LLC,AE07033000000000000000,"Street 85, Dubai",+97156818732,INV-2085,108.52,2025-11-15,2025-11-15T11:36:00,supplier payment,GL-0004,E009,AE999994347881660791591,PO-3085
R0086,V032,Vendor 032 LLC,AE07033000000000000000,"Street 86, Dubai",+97154936453,INV-2086,4637.95,2025-11-28,2025-11-28T15:02:00,supplier payment,GL-0005,E008,AE999991676300039884277,PO-3086
R0087,V015,Vendor 015 LLC,AE07033000000000000000,"Street 87, Dubai",+97159285735,INV-2087,710.51,2025-11-28,2025-11-28T23:21:00,supplier payment,GL-0006,E013,AE999998525503077556183,
R0088,V034,Vendor 034 LLC,AE07033000000000000000,"Street 88, Dubai",+97157612582,INV-2088,307758.55,2025-10-25,2025-10-25T16:26:00,supplier payment,GL-0007,E012,AE999996337655162715419,PO-3088
R0089,V018,Vendor 018 LLC,AE07033000000000000000,"Street 89, Dubai",+97158990305,INV-2089,641.04,2025-10-03,2025-10-03T11:33:00,supplier payment,GL-0008,E010,AE999992153704115912710,PO-3089
