record_id,employee_id,full_name,pay_period,gross_pay,bonus_amount,base_salary,bonus_ratio,grade,bank_account,emirates_id,address,hire_date,posting_date,overtime_hours,pay_rate_change_pct,status_change
R0000,E001,Employee 001,2025-10-31,98600,72000,18000,4.0,G3,BA-0000,000-0000-0000000-0,Unknown,2021-11-07,2025-09-05,43,56.04,reactivation
R0001,E002,Employee 002,2025-10-31,12900,500,12000,0.042,G3,BA-0001,784-1989-0502879-6,"Tower 17, Dubai",2021-10-01,2025-09-20,2,0.57,none
R0002,E003,Employee 003,2025-10-31,9400,1000,8000,0.125,G4,BA-0002,784-1994-7327703-2,"Tower 33, Dubai",2023-08-05,2025-09-28,2,0.68,none
R0003,E004,Employee 004,2025-10-31,16400,2000,12000,0.167,G5,BA-0001,784-1991-7211221-5,"Tower 16, Dubai",2023-08-25,2025-09-27,12,4.4,none
R0004,E005,Employee 005,2025-10-31,38200,1000,35000,0.029,G6,BA-0004,784-1984-7388344-7,"Tower 69, Dubai",2024-08-06,2025-09-10,11,3.59,none
R0005,E006,Employee 006,2025-10-31,14100,500,12000,0.042,G4,BA-0005,784-1994-4391642-9,"Tower 36, Dubai",2023-05-15,2025-09-29,8,2.85,none
R0006,E007,Employee 007,2025-10-31,18400,5000,12000,0.417,G6,BA-0006,784-1987-3262647-5,"Tower 17, Dubai",2025-03-05,2025-09-14,7,4.4,none
R0007,E008,Employee 008,2025-10-31,53200,2000,50000,0.04,G5,BA-0007,784-1981-3773276-2,"Tower 64, Dubai",2021-09-03,2025-09-27,6,0.02,none
R0008,E009,Employee 009,2025-10-31,26400,1000,25000,0.04,G4,BA-0008,784-1991-3406752-5,"Tower 67, Dubai",2021-07-27,2025-09-22,2,5.87,none
R0009,E010,Employee 010,2025-10-31,17600,5000,12000,0.417,G3,BA-0009,784-1999-0714092-9,"Tower 76, Dubai",2025-05-15,2025-09-12,3,5.78,none
R0010,E011,Employee 011,2025-10-31,41000,5000,35000,0.143,G3,BA-0010,784-1985-9316267-1,"Tower 29, Dubai",2024-08-25,2025-09-03,5,1.46,none
R0011,E012,Employee 012,2025-10-31,31600,5000,25000,0.2,G2,BA-0011,784-1994-5755575-1,"Tower 68, Dubai",2025-07-27,2025-09-05,8,6.46,none
R0012,E013,Employee 013,2025-10-31,19200,0,18000,0.0,G4,BA-0012,784-1998-1299014-7,"Tower 67, Dubai",2023-07-14,2025-09-28,6,2.41,none
R0013,E014,Employee 014,2025-10-31,9000,0,8000,0.0,G5,BA-0013,784-1997-8938343-8,"Tower 61, Dubai",2024-05-03,2025-09-22,5,2.68,none
R0014,E015,Employee 015,2025-10-31,15400,1000,12000,0.083,G6,BA-0014,784-1985-2455631-4,"Tower 55, Dubai",2021-10-02,2025-09-27,12,0.25,none
R0015,E016,Employee 016,2025-10-31,14200,1000,12000,0.083,G4,BA-0015,784-1987-9933630-4,"Tower 55, Dubai",2024-06-11,2025-09-21,6,4.7,none
R0016,E017,Employee 017,2025-10-31,20000,2000,18000,0.111,G5,BA-0016,784-1982-1150547-0,"Tower 77, Dubai",2025-07-25,2025-09-21,0,2.54,none
R0017,E018,Employee 018,2025-10-31,19900,500,18000,0.028,G6,BA-0017,784-1992-5584568-0,"Tower 38, Dubai",2022-08-17,2025-09-14,7,3.85,none
R0018,E019,Employee 019,2025-10-31,12500,500,12000,0.042,G3,BA-0018,784-1986-5166628-4,"Tower 78, Dubai",2023-05-30,2025-09-10,0,0.9,none
R0019,E020,Employee 020,2025-10-31,32400,24000,8000,3.0,G5,BA-0001,784-1998-9785909-6,"Tower 6, Dubai",2023-08-15,2025-09-18,2,0.8,none
R0020,E021,Employee 021,2025-10-31,20900,500,18000,0.028,G3,BA-0020,784-1997-2107819-0,"Tower 32, Dubai",2021-10-07,2025-09-05,12,0.39,none
R0021,E022,Employee 022,2025-10-31,11000,2000,8000,0.25,G4,BA-0021,784-1986-0787702-3,"Tower 31, Dubai",2022-09-03,2025-09-26,5,0.56,none
R0022,E023,Employee 023,2025-10-31,27300,500,25000,0.02,G2,BA-0022,784-1997-0871512-1,"Tower 79, Dubai",2024-10-26,2025-10-01,9,3.14,none
R0023,E024,Employee 024,2025-10-31,44400,1000,35000,0.029,G6,BA-0023,784-1989-4374974-1,"Tower 48, Dubai",2025-04-18,2025-09-30,42,3.17,none
R0024,E025,Employee 025,2025-10-31,10700,500,8000,0.062,G6,BA-0024,784-1988-1525593-5,"Tower 55, Dubai",2024-09-08,2025-09-20,11,0.12,none
R0025,E026,Employee 026,2025-10-31,53400,1000,50000,0.02,G2,BA-0025,784-1989-6807498-6,"Tower 61, Dubai",2023-05-27,2025-09-09,12,0.33,none
R0026,E027,Employee 027,2025-10-31,13900,500,12000,0.042,G6,BA-0026,784-1980-8928941-4,"Tower 36, Dubai",2023-09-23,2025-09-08,7,2.41,none
R0027,E028,Employee 028,2025-10-31,14200,1000,12000,0.083,G5,BA-0027,784-1993-4386458-2,"Tower 60, Dubai",2022-05-06,2025-09-29,6,1.25,none
R0028,E029,Employee 029,2025-10-31,37600,2000,35000,0.057,G5,BA-0028,784-1986-0487489-9,"Tower 5, Dubai",2022-11-19,2025-09-27,3,6.13,none
R0029,E030,Employee 030,2025-10-31,35900,500,35000,0.014,G6,BA-0029,000-0000-0000000-0,Unknown,2024-11-03,2025-09-10,2,0.82,none
R0030,E031,Employee 031,2025-10-31,11800,2000,8000,0.25,G2,BA-0030,784-1986-7188037-0,"Tower 69, Dubai",2025-06-18,2025-09-25,9,4.17,none
